Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/29  12:00:00,32.0916666666666,861.083333333333,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,15143.7918069312,5870.13679185108,21013.9285987822,4051.36511303981,1182.85182070083,5234.21693374063,4812.00707104964,458.349251373668,5270.3563224233,3364.79463389085,459.120422671831,3823.91505656268,35342.4169115088,26.1815158894178,26.1847767643294,26.4096296275547,26.3025553448449,31.6980405786579,26.2068771350762
 06/29  13:00:00,33.7333333333333,862.583333333333,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,20294.9980763155,5821.63385562821,26116.6319319437,5376.69792136364,1134.47420688311,6511.17212824674,6267.07107366045,436.645799702417,6703.71687336286,4560.70211817144,437.715560846557,4998.41767901799,44329.9386125713,26.1001954448353,26.1267686477143,26.1998525803902,26.151203009472,33.2261541860512,26.1287895234539
 06/29  14:00:00,35.3916666666666,847.416666666666,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,21796.0472824142,5775.699621911,27571.7469043252,5913.40243895661,1079.41873652296,6992.82117547958,6528.66602691244,412.738106182932,6941.40413309537,4821.48654662542,413.815242827447,5235.30178945286,46741.274002353,26.0528485673886,26.0610399608122,26.1084261367678,26.0873462489275,34.6601964622116,26.0645463660281
 06/29  15:00:00,35.75,763.5,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,22010.3298190186,5886.22710013749,27896.556919156,6215.71377865189,1094.34666037434,7310.06043902623,6422.96824553482,420.406424567422,6843.37467010224,4712.4088541871,420.57798876923,5132.98684295632,47182.9788712408,26.043277331755,26.0530338976691,26.0762420247626,26.0631742582819,35.0459445442689,26.0536135613935
 06/29  16:00:00,35.2083333333333,460.833333333333,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,20872.2498197208,5767.98665087293,26640.2364705938,6242.34861589902,1076.43480367328,7318.7834195723,6277.6587532115,412.087695139716,6689.74644835121,4549.84651835705,413.009544193636,4962.85606255068,45611.622401068,26.0379581182714,26.0396270338051,26.0611091908771,26.0516212812071,34.6262755394888,26.0415615325806
 06/29  17:00:00,34.65,227.583333333333,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,12922.0869433352,2695.83079679267,15617.9177401278,4063.92223029847,356.921613232327,4420.84384353079,4202.58804587485,127.183517252108,4329.77156312696,2859.7335776606,128.083114884419,2987.81669254502,27356.3498393306,26.0844713022872,26.0893578134775,26.1242638594548,26.1149625187806,33.9753554531675,26.0925432651228
 06/29  18:00:00,32.0083333333333,117,1,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,5304.71541889839,1343.43922978116,6648.15464867955,2073.85284708914,51.0499100287853,2124.90275711792,2538.60882895629,12.8756266920314,2551.48445564832,1605.61489610378,13.1913306743674,1618.80622677814,12943.3480882239,25.9641578074063,25.9672063824701,25.9244422859102,25.9123884305479,31.0488744047272,25.9602500449131
 06/29  19:00:00,27.9666666666666,31.4166666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4473755940665,26.2045882649772,27.2331997006579,26.9112699844793,28.6445065289326,26.3596849676752
 06/29  20:00:00,23.9083333333333,1.55555555555555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1397079074567,26.0975199129885,26.9726565984518,26.5470795617895,27.538252429604,26.1920872950822
 06/29  21:00:00,22.0833333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5674834574955,25.7583333833248,26.2948847202771,25.8665010880106,26.668928567845,25.7691689315525
 06/29  22:00:00,21.9416666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.333075185324,25.5171164447068,25.9993720265601,25.5557497333007,26.1764775255883,25.5209019878608
 06/29  23:00:00,21.7833333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1701488388912,25.3355269679096,25.7879799443625,25.3284554865486,25.8137326023239,25.3374294345526
 06/29  24:00:00,21.4666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0258018888101,25.1775903907904,25.5995589574116,25.1263874435465,25.5100439562303,25.1768240916329
 06/30  01:00:00,21.125,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9230218098961,25.0450895975601,25.5003891934197,24.9512805619299,25.2457530633467,25.0486580635607
 06/30  02:00:00,20.7666666666666,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.824741907348,24.9171022985352,25.3867259045579,24.7881477353044,25.0154277499165,24.9242402507103
