Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/02  10:00:00,24.4,945.833333333333,2,30.6709187792669,129.217091877926,12.1758436944937,12.1758436944937,0.968835782334894,185.208533828515,11166.0518948066,7546.70004414899,18712.7519389555,3056.56718092274,1632.5255670379,4689.09274796064,3626.64647621499,660.58189650553,4287.22837272052,1315.50915672095,636.341237425268,1951.85039414621,29640.9234537829,26.0032832421399,26.2460839040713,25.9739994922033,26.1995560766578,25.5012175827159,26.1846080844524
 06/02  11:00:00,26.8,966.166666666666,2,42.9392862909736,180.903928629097,17.0461811722912,17.0461811722912,1.35637009526885,259.291947359922,20313.2071805353,10677.0816065991,30990.2887871345,4452.51930225543,2384.41479297702,6836.93409523245,4952.83422190691,938.961273207908,5891.79549511481,2936.86337557216,938.961109216678,3875.82448478883,47594.8428622706,26.001293209303,26.1086487548292,25.9905971931513,26.0635163288545,27.4138645529948,26.0799926594834
 06/02  12:00:00,28.675,976.583333333333,2,42.9392862909736,180.903928629097,17.0461811722912,17.0461811722912,1.35637009526885,259.291947359922,32145.1226746569,10507.1119464711,42652.234621128,5191.50297138639,2301.31954422034,7492.82251560672,5887.49879390289,902.782680215487,6790.28147411837,5307.09360775776,903.864414753955,6210.95802251171,63146.2966333648,25.9923464287094,25.3549188266555,25.9871442724985,25.2045005030825,28.7410026950116,25.4928746089167
 06/02  13:00:00,30.1166666666666,978.416666666666,2,42.9392862909736,180.903928629097,17.0461811722912,17.0461811722912,1.35637009526885,259.291947359922,25973.49456964,10454.2844527186,36427.7790223587,5800.84905869526,2231.54132902541,8032.39038772066,6476.24126681524,871.964996126149,7348.20626294138,4502.48868468905,873.219940626802,5375.70862531585,57184.0842983366,25.9614134587958,25.6834240375404,25.9633517305336,25.6552469088006,30.0611706569631,25.7463392258776
 06/02  14:00:00,31.575,922.5,2,42.9392862909736,180.903928629097,17.0461811722912,17.0461811722912,1.35637009526885,259.291947359922,35847.7423636536,10379.8947946269,46227.6371582805,6344.66176314603,2141.7921966424,8486.45395978843,6729.39320408137,833.038755241069,7562.43195932243,6207.94367768488,834.285060492875,7042.22873817775,69318.7518155691,25.9445490558904,25.2767974614116,25.9481559943795,25.0540834218142,31.3393194371232,25.4176097993428
 06/02  15:00:00,31.9666666666666,682.916666666666,2,49.073470046827,206.747347004682,19.48134991119,19.48134991119,1.55013725173583,296.333654125625,28252.4986524389,12050.3852085244,40302.8838609632,6898.98937261688,2535.70798243663,9434.69735505351,6839.06011248342,991.599279991912,7830.65939247534,4883.80871602965,991.800087867384,5875.60880389703,63443.8494123891,25.9355614891199,25.6365378928534,25.9281522425863,25.542940772906,31.7393704244776,25.6994036856829
 06/02  16:00:00,31.625,568.416666666666,2,42.9392862909736,180.903928629097,17.0461811722912,17.0461811722912,1.35637009526885,259.291947359922,15384.9417913646,10433.9929683149,25818.9347596794,6639.26019287201,2213.64208685276,8852.90227972478,6435.96184367147,864.841347591305,7300.80319126277,2607.12074045904,865.899939078426,3473.02067953746,45445.6609102044,25.9397909132388,26.7144561270254,25.9418588946947,26.8595379786216,31.4488888001646,26.5440245747824
 06/02  17:00:00,31.2666666666666,451.583333333333,2,30.6709187792669,129.217091877926,12.1758436944937,12.1758436944937,0.968835782334894,185.208533828515,22259.7566643984,7534.3399808526,29794.096645251,5946.63282780737,1585.69628032718,7532.32910813455,5828.77232820387,620.019664553443,6448.79199275731,3688.13180514382,620.21340340774,4308.34520855157,48083.5629546944,25.9809466047082,26.5032880038961,25.9782147735601,26.4702176781319,31.1158471857459,26.3794462665547
 06/02  18:00:00,30.05,487.25,2,30.6709187792669,129.217091877926,12.1758436944937,12.1758436944937,0.968835782334894,185.208533828515,17556.5270056664,7506.18771446367,25062.71472013,5460.45778605138,1557.96109058006,7018.41887663144,5069.97081820165,608.393736580762,5678.36455478241,2807.90293598919,608.394087824922,3416.29702381411,41175.795175358,26.0206397835197,26.2908314261944,26.0361482192172,26.3554578963037,29.9787691219199,26.2332914758693
 06/02  19:00:00,28.1916666666666,183.166666666666,2,18.4025512675601,77.530255126756,7.30550621669627,7.30550621669627,0.581301469400936,111.12512029711,13514.2524464499,4444.56970098558,17958.8221474354,3864.77665221552,746.106764142585,4610.8834163581,3744.12763216819,283.491354268185,4027.61898643637,2153.83302104262,282.600762227314,2436.43378326993,29033.7583334998,26.0207528257857,26.1185595929597,26.0224208259162,26.1509232294248,28.6305968154234,26.0980626753045
