Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/21  10:00:00,28.7333333333333,841.666666666666,7,56.0283453639789,1.50558,57.5339253639789,4490.76468523666,3423.92562525486,7914.69031049151,6281.54154574708,11815.5308570322,18097.0724027792,26011.7627132707,26.7197430325243,27.8985640275821,47.9377727092564,27.0412338223568
 06/21  11:00:00,30.3916666666666,894.333333333333,7,126.063777068952,3.38755499999999,129.451332068952,10731.409448179,6687.55274540885,17418.9621935879,10454.7789952521,11869.6096983273,22324.3886935794,39743.3508871673,26.2318577018374,26.5671529231845,54.5149388258298,26.3233001905527
 06/21  12:00:00,31.9749999999999,715.416666666666,7,140.070863409947,3.76395,143.834813409947,10072.3343096018,6758.56439411835,16830.8987037201,8908.39951131078,8434.28138042848,17342.6808917392,34173.5795954593,26.6687196050162,27.4291721333958,58.1865719857795,26.8761119784163
 06/21  13:00:00,33.475,716.166666666666,7,140.070863409947,3.76395,143.834813409947,12510.8733271877,6315.81675329585,18826.6900804835,10272.8617330298,7019.70931821292,17292.5710512427,36119.2611317262,26.228447246782,26.585829018067,59.2070693873831,26.3259132305097
 06/21  14:00:00,34.975,559.5,7,98.049604386963,2.634765,100.684369386963,9940.27322002596,3975.8916649395,13916.1648849654,8879.91257683364,6854.79919304166,15734.7117698752,29650.8766548406,26.4029789492371,26.9376554894952,58.7642234628981,26.5487971726596
 06/21  15:00:00,33.675,119.583333333333,7,84.0425180459683,2.25836999999999,86.3008880459683,12427.5289502149,4128.36792063416,16555.896870849,12564.5424735037,10957.5156937632,23522.0581672668,40077.9550381158,25.3511788244851,24.5910865816953,52.931004745099,25.1438847090048
 06/21  16:00:00,30.3166666666666,61.9166666666666,7,84.0425180459683,2.25836999999999,86.3008880459683,8973.99186858613,4811.28286572719,13785.2747343133,10179.9575449287,12012.2527570465,22192.2103019752,35977.4850362885,25.8876940939339,25.6896084376823,43.1505082305011,25.8336717153456
 06/21  17:00:00,26.9749999999999,129.666666666666,7,84.0425180459683,2.25836999999999,86.3008880459683,8131.35857316546,5043.71153481546,13175.0701079809,10372.5466556002,10495.0040039196,20867.5506595198,34042.6207675007,25.9959405558203,25.9244607907955,36.2576609783753,25.9764464288823
 06/21  18:00:00,24.7249999999999,132.333333333333,7,196.099208773926,5.26953,201.368738773926,18501.4783294796,10104.0852880431,28605.5636175228,16292.9041677966,9851.12434283268,26144.0285106292,54749.592128152,24.2402637167631,22.4968452688324,31.2243724989151,23.7647946029759
 06/21  19:00:00,23.2249999999999,113.833333333333,7,252.127554137905,6.77510999999999,258.902664137905,13280.4893431729,12493.1752589804,25773.6646021534,10060.9609998358,8771.3227006149,18832.2837004507,44605.9483026041,25.5716205994549,24.7678338070786,27.2246516465943,25.3524100052923
 06/21  20:00:00,21.7249999999999,8.6111111111111,7,196.099208773926,5.26953,201.368738773926,6899.13216210597,9623.46872690956,16522.6008890155,6656.51483599118,8512.68361878549,15169.1984547766,31691.7993437921,26.8237571239908,27.2164477345126,23.4580790494374,26.9308526160678
 06/21  21:00:00,20.3416666666666,0,7,182.092122432931,4.893135,186.985257432931,8841.07033136615,9339.88074152349,18180.9510728896,9334.51168706183,7616.15642552806,16950.6681125899,35131.6191854795,26.0735955192289,25.6983547886,19.7861286785362,25.9712589987792
 06/21  22:00:00,19.0416666666666,0,7,154.077949750942,4.140345,158.218294750942,9219.23754505448,7198.73491989899,16417.9724649534,9943.50356422002,4889.21092433315,14832.7144885531,31250.6869535065,24.8479284210544,23.0432892924895,17.3877507329366,24.3557630615661
 06/21  23:00:00,17.7416666666666,0,7,98.049604386963,2.634765,100.684369386963,6525.11034043889,4178.06434831787,10703.1746887567,9010.3144019836,2958.70811776632,11969.0225197499,22672.1972085066,24.1834581230847,21.2625632715741,15.7125534882231,23.3868649195646
 06/21  24:00:00,17.7249999999999,0,7,14.0070863409947,0.376395,14.3834813409947,527.568802321039,974.588449770322,1502.15725209136,4940.04647687089,2337.44104490716,7277.48752177806,8779.64477386942,24.6749719613472,22.1893711766911,14.6936048631432,23.9970931631093
 06/22  01:00:00,18.6833333333333,0,1,0,0,0,0,0,0,0,0,0,0,24.6366480974216,25.4008048843056,14.9715792422366,24.8450507047735
 06/22  02:00:00,19.625,0,1,0,0,0,0,0,0,0,0,0,0,24.5076004632335,26.4819422452498,16.2207751012456,25.0460475231017
 06/22  03:00:00,19.3583333333333,0,1,0,0,0,0,0,0,0,0,0,0,24.3467026191077,26.5220565116158,17.4668710996787,24.939970166937
 06/22  04:00:00,18.2583333333333,0,1,0,0,0,0,0,0,0,0,0,0,24.3663254595695,27.0163043257684,16.8193331787941,25.0890338286141
 06/22  05:00:00,17.1583333333333,37,1,0,0,0,0,1231.16365559969,1231.16365559969,4273.48626274926,9485.35347048297,13758.8397332322,14990.0033888319,24.7067348709766,24.5677800253598,15.6001728942744,24.6688387839068
 06/22  06:00:00,17.8666666666666,403.166666666666,1,14.0070863409947,0.376395,14.3834813409947,1620.63249221105,1069.66927838991,2690.30177060096,12442.949273331,3877.12913674544,16320.0784100764,19010.3801806774,24.5743880076186,19.3728720786829,15.7369000956294,23.1558185459863
 06/22  07:00:00,19.925,526.583333333333,1,140.070863409947,3.76395,143.834813409947,8019.8359437356,6543.40118725786,14563.2371309934,7080.1119519366,5427.48131310484,12507.5932650414,27070.8303960348,24.4148003009585,21.6465109418659,19.9416087743226,23.6598260204945
 06/22  08:00:00,21.9666666666666,844.083333333333,1,140.070863409947,3.76395,143.834813409947,6121.82943734132,6830.39223787311,12952.2216752144,5436.08670260736,6144.40652372054,11580.4932263279,24532.7149015423,25.6684292000067,24.0820500114376,27.1740556570876,25.2357881964573
 06/22  09:00:00,23.675,928.333333333333,1,56.0283453639789,1.50558,57.5339253639789,3829.34166893401,3608.72692365971,7438.06859259373,4946.3072519533,7118.04935878155,12064.3566107348,19502.4252033285,26.110257978434,26.0704295497667,36.9084430202605,26.0993958771958
 06/22  10:00:00,25.1166666666666,960.5,1,56.0283453639789,1.50558,57.5339253639789,5403.21056780494,3862.50190245076,9265.71247025571,8278.99455193382,11699.5883430101,19978.5828949439,29244.2953651996,26.0483523343338,26.0178528877646,45.325386599914,26.0400344546828
 06/22  11:00:00,26.575,979.083333333333,1,84.0425180459683,2.25836999999999,86.3008880459683,10345.46007339,5192.01787128004,15537.47794467,13686.3386154993,11819.3676791977,25505.706294697,41043.184239367,25.0328992928323,23.5444051809747,52.5089435015158,24.626953733932
 06/22  12:00:00,27.7249999999999,979.5,1,140.070863409947,3.76395,143.834813409947,13370.9172282082,7342.26453003253,20713.1817582407,12716.1973264871,10510.2641736952,23226.4615001822,43939.6432584229,24.8476540744625,23.3869908823498,58.4728553975842,24.4492986284021
 06/22  13:00:00,28.6833333333333,839,1,140.070863409947,3.76395,143.834813409947,12700.7901484968,6992.51003676743,19693.3001852642,11368.2285771727,8374.29086643755,19742.5194436102,39435.8196288744,25.1270832316116,23.8848685856567,62.1975349914611,24.7883035785991
 06/22  14:00:00,29.625,340.166666666666,1,84.0425180459683,2.25836999999999,86.3008880459683,12938.8598087112,4388.80714109195,17327.6669498031,13825.8314726832,8977.67064616574,22803.5021188489,40131.169068652,24.3412986279756,22.1565361134381,59.5947453356975,23.7454651389727
 06/22  15:00:00,30.2333333333333,172.333333333333,1,56.0283453639789,1.50558,57.5339253639789,7127.37889567545,3250.02517913498,10377.4040748104,8966.01224484358,10248.3357082994,19214.3479531429,29591.7520279533,25.3701257993412,24.3428301320694,52.5968011721816,25.0899593475666
 06/22  16:00:00,30.575,297.166666666666,1,70.0354317049736,1.881975,71.9174067049736,8283.37556004359,3688.27066468797,11971.6462247315,9644.66477101928,9597.09953905698,19241.7643100762,31213.4105348077,25.7082543810712,25.0181144566921,47.7152523065433,25.5200378237535
 06/22  17:00:00,30.9333333333333,235.833333333333,1,98.049604386963,2.634765,100.684369386963,11783.1445751091,4827.51543559427,16610.6600107034,12282.0383820449,9440.9638456935,21723.0022277384,38333.6622384418,25.1617622653993,23.8926898074686,44.0042769185472,24.8156578877496
 06/22  18:00:00,29.4666666666666,275.666666666666,1,154.077949750942,4.140345,158.218294750942,13621.5978651774,7876.68180825569,21498.2796734331,11980.1424751066,9813.2799692308,21793.4224443374,43291.7021177705,25.1137789522305,23.8234376901207,39.2344963516842,24.7618740970843
 06/22  19:00:00,26.725,125.999999999999,1,182.092122432931,4.893135,186.985257432931,15268.1593891877,9309.22296080512,24577.3823499928,12866.3674127896,10325.3769974595,23191.7444102491,47769.1267602419,24.6386510019477,22.980882297997,33.024907867411,24.1865404845518
 06/22  20:00:00,23.9666666666666,7.38888888888888,1,196.099208773926,5.26953,201.368738773926,8909.06794852286,9754.23569467769,18663.3036432005,7600.27311864698,10079.5017534412,17679.7748720881,36343.0785152886,25.9192805315646,25.3272906581612,26.7326143698311,25.7578316832906
 06/22  21:00:00,21.8083333333333,0,1,98.049604386963,2.634765,100.684369386963,6201.3825017154,5415.57781219568,11616.960313911,10960.8958495032,9224.67153286148,20185.5673823646,31802.5276962756,25.4777824890867,23.430895064263,19.3801467124152,24.9195506136249
 06/22  22:00:00,20.1666666666666,0,1,56.0283453639789,1.50558,57.5339253639789,4900.51660219346,3705.04230634887,8605.55890854232,13944.8465281073,4576.72450054407,18521.5710286513,27127.1299371936,24.590004477388,19.6505053096021,18.8743008143589,23.242892833223
