Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/03  10:00:00,24.375,890.833333333333,3,56.0283453639789,1.50558,57.5339253639789,5213.85883313315,3443.72738353336,8657.58621666651,7702.62893739113,12607.2662991042,20309.8952364953,28967.4814531618,25.9999999999786,25.9920363914475,44.8298353827645,25.9978281462304
 06/03  11:00:00,27.1333333333333,910.416666666666,3,140.070863409947,3.76395,143.834813409947,10166.6271427677,6952.23641050603,17118.8635532737,9648.58211912748,12087.6889240644,21736.2710431919,38855.1345964656,26,25.9999999999007,52.777842408898,25.9999999999729
 06/03  12:00:00,28.65,898.666666666666,3,224.113381455915,6.02232,230.135701455915,14794.65930238,10221.7671005174,25016.4264028974,9951.69973605901,10254.4968816586,20206.1966177176,45222.623020615,25.9999999999999,26,58.0758216074122,25.9999999999999
 06/03  13:00:00,29.1916666666666,820.083333333333,3,196.099208773926,5.26953,201.368738773926,13956.9431483875,8738.38951497997,22695.3326633675,9666.10901789482,7314.30018370773,16980.4092016025,39675.74186497,25.9999999999999,26.0000000000001,59.4627923233153,26
 06/03  14:00:00,29.75,564.333333333333,3,112.056690727957,3.01116,115.067850727957,10332.196981591,5183.23461834651,15515.4315999375,9118.70089884244,7821.30378482816,16940.0046836706,32455.4362836081,25.9999999999999,26,57.2425189245143,25.9999999999999
 06/03  15:00:00,29.0083333333333,387.666666666666,3,56.0283453639789,1.50558,57.5339253639789,7430.42882721682,3123.11076985904,10553.5395970759,9060.72179623957,9909.71213395983,18970.4339301994,29523.9735272753,25.9999999999999,25.9999999999999,51.636323738535,25.9999999999999
 06/03  16:00:00,27.3666666666666,254.583333333333,3,70.0354317049736,1.881975,71.9174067049736,8075.27882135972,3616.8272085257,11692.1060298854,9764.29689236105,10800.3775835122,20564.6744758732,32256.7805057587,25.9999999999999,25.9999999999999,44.5556459929548,25.9999999999999
 06/03  17:00:00,25.7083333333333,234.666666666666,3,140.070863409947,3.76395,143.834813409947,10598.3207568811,6746.90984807306,17345.2306049542,10273.2686149477,10566.1993330433,20839.467947991,38184.6985529452,26,25.9999999999999,38.2272014390169,26
 06/03  18:00:00,23.8916666666666,126.25,3,224.113381455915,6.02232,230.135701455915,12868.537408931,10069.9090140956,22938.4464230266,10435.8372399143,10247.4263294798,20683.2635693941,43621.7099924207,26,26,31.7042288155828,26
 06/03  19:00:00,22.05,21.1666666666666,3,224.113381455915,6.02232,230.135701455915,11651.9945621046,9787.33248013274,21439.3270422373,10203.3864488318,9570.78810359105,19774.1745524229,41213.5015946602,26,25.9491571396074,25.8373343448706,25.9861340174518
 06/03  20:00:00,20.1916666666666,0.722222222222222,3,224.113381455915,6.02232,230.135701455915,12349.9183287939,10191.6875672379,22541.6058960318,11100.1590898168,9218.62124090258,20318.7803307194,42860.3862267512,25.5421946869796,24.8341387934843,21.4871885822917,25.3490920451029
 06/03  21:00:00,19.2833333333333,0,3,140.070863409947,3.76395,143.834813409947,8530.45978868177,5844.6716263232,14375.131415005,10998.1242970952,6925.72186931397,17923.8461664092,32298.9775814141,25.2718068321387,23.9456632568612,18.1675795306074,24.9101378872907
 06/03  22:00:00,19.1416666666666,0,3,98.049604386963,2.634765,100.684369386963,5883.26976664438,4278.98598855737,10162.2557552018,9362.80329348597,3976.344493062,13339.147786548,23501.4035417497,24.9960032961472,23.0310722886536,16.378531543233,24.4601227644855
 06/03  23:00:00,18.9833333333333,0,3,56.0283453639789,1.50558,57.5339253639789,3276.83449274873,2189.80330422621,5466.63779697494,7471.55864760872,2514.97511310424,9986.53376071296,15453.1715576879,24.6876720463921,22.0692951898484,15.5662840323444,23.9735822505549
 06/03  24:00:00,18.2583333333333,0,3,14.0070863409947,0.376395,14.3834813409947,912.096143979212,792.198050308926,1704.29419428814,7253.2479862572,2106.3456949113,9359.5936811685,11063.8878754566,24.6617413741174,21.2014826784689,14.8185269008161,23.7180516148132
 06/04  01:00:00,17.1583333333333,0,4,0,0,0,0,0,0,0,0,0,0,24.4750350638286,24.9098295479813,14.0706449100377,24.5936132217602
 06/04  02:00:00,16.0583333333333,0,4,0,0,0,0,0,0,0,0,0,0,24.2903076891563,26.2608824167102,13.0759326451869,24.8277273892137
 06/04  03:00:00,15.25,0,4,0,0,0,0,0,0,0,0,0,0,24.0502495651665,26.271578237062,12.2130365655675,24.6560554612265
 06/04  04:00:00,14.7083333333333,0,4,0,0,0,0,0,0,0,0,0,0,24.0559385377961,26.7536940877958,11.4549986513987,24.791676674613
 06/04  05:00:00,14.15,23.1666666666666,4,14.0070863409947,0.376395,14.3834813409947,1412.25294574751,2338.34766938038,3750.60061512789,9283.47168101869,9163.81701840742,18447.2886994261,22197.889314554,24.0893131074054,21.1740884896881,10.7461496500602,23.2942663031676
 06/04  06:00:00,14.8916666666666,301.666666666666,4,28.0141726819894,0.75279,28.7669626819894,2572.41738586275,1852.99351867392,4425.41090453667,8049.59796996177,4272.75456155013,12322.3525315119,16747.7634360486,23.9049151855624,21.0000341503364,11.4499652446241,23.112689307079
